ID,space_alias_name,space_type,space_category,department_occupied
2944,Parking Office,Office,Support,Transport Team
2945,Female WC,Other Space,Other,University College Falmouth
2946,Clinical Room 2,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2947,Office,Office,Academic - Faculty,Medical Imaging (Radiography)
2948,staff kitchenette,Other Space,Support,University
2949,Corridor / Outer Lobby - A13,Balance Space,Other,Balance
2950,Cleaners,Balance Space,Other,Third Party Accounts
2951,Bathroom,Other Space,Residential,Residence Operations
2952,Toilets (Female) - SSC,Balance Space,Other,Balance
2953,Main Library,Library,Support,Combined Services
2954,Room F4 - Currently vacant (03/12/2013),Other Space,Other,University
2955,Anglican Chaplaincy office/ Multifaith Chaplaincy,Office,Support,Multi-faith Chaplaincy
2956,Auditorium - Store,Storage Space,Support,University
2957,First Floor Balance Space,Balance Space,Other,Balance
2958,Isca Eats Kitchen/Servery,Central Catering,Support,Catering and Food Services
2959,3D Studio,Specialist Area,Other,University College Falmouth
2960,Support Room 2,Other Space,Support,Student Services Penryn
2961,Link Corridor,Balance Space,Other,Balance
2962,Auditorium -  AV Control Room,Other Space,Support,University
2963,Weatherproof Plant Room,Balance (Building Service) Space,Other,Balance
2964,Corridor East,Balance Space,Other,Balance
2965,Clinic Room 5,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2966,CBI,Other Space,Other,Third Party Accounts
2967,Sisters Prayer Room,Other Space,Support,Multi-faith Chaplaincy
2968,Lobby Reception Area,Balance Space,Other,Balance
2969,STAGE,Other Space,Other,Northcott Theatre
2970,Storage space,Storage Space,Academic - Faculty,University of Exeter Medical School
2971,Revolving Door near SID desk,Balance Space,Other,Balance
2972,Male Lobby,Balance Space,Other,Balance
2973,Guild Ents Store,Storage Space,Support,Catering and Food Services
2974,Room A lobby,Balance Space,Other,Balance
2975,Prep-Liquids,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2976,Stairs West Wing,Balance Space,Other,Balance
2977,Lift Motor,Balance Space,Other,Balance
2978,Main Elec Intake,Balance Space,Other,Balance
2979,Lemon Grove store,Storage Space,Support,Catering and Food Services
2980,Silent Group Study 1,Study Space [PS],Support,Combined Services
2981,Photo Studio - Small 1,Specialist Area,Other,University College Falmouth
2982,STORE LEVEL 271.00,Social Space,Support,Social Space Streatham
2983,Dance Studio,Specialist Area [PS],Academic - Central,Centrally Bookable Space
2984,Community Liaison & International Transition,Office,Support,Student Wellbeing and Welfare
2985,Female Lobby,Balance Space,Other,Balance
2986,Office,Office,Other,Third Party Accounts
2987,Snack Prep,Other Space,Other,Third Party Accounts
2988,Social Learning (surround),Social Space,Support,Social Space Penryn
2989,Lift adjoining Entrance Foyer,Balance Space,Other,Balance
2990,Mason Discussion Room,Study Space,Academic - Faculty,University of Exeter Business School
2991,Post Room,Balance Space,Other,Balance
2992,Muslim Common Room,Other Space,Support,Multi-faith Chaplaincy
2993,Circulation between Forum and University Shop,Balance Space,Other,Balance
2994,Medical Imaging office,Office,Academic - Faculty,Medical Imaging (Radiography)
2995,Office,Office,Support,Exeter Innovation
2996,Room G1 - Currently vacant (15/12/2015),Storage Space,Other,University
2997,Riser on Stair 4,Balance Space,Other,Balance
2998,Workroom - Digital Photo 1,Specialist Area,Other,University College Falmouth
2999,Health Centre - ADMINISTRATION,Other Space,Other,Third Party Accounts
3000,Bateman LT,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
3001,Office - Meeting,Office,Other,University College Falmouth
3002,Lift A,Balance Space,Other,Balance
3003,Reception Store/Meeting Room,Meeting Room,Academic - Faculty,Faculty of Health and Life Sciences
3004,Health Centre - RECEPTION,Other Space,Other,Third Party Accounts
3005,Laundry,Other Space,Other,Other
3006,Circulation - Roof Access,Balance Space,Other,Balance
3007,Seating Area,Other Space,Support,FXplus Estates
3008,Meeting Room,Specialist Area,Other,University College Falmouth
3009,Changing Room/Lockers,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3010,ASU Meeting Room,Meeting Room,Support,Education and Academic Services
3011,Interview Room,Meeting Room,Other,Third Party Accounts
3012,Break Out,Balance Space,Other,Other
3013,Research Services/EI,Office,Support,Exeter Innovation
3014,Deionised water plant,Specialist Area,Academic - Faculty,Geography
3015,The Gallery (Hallway),Social Space,Other,Student Guild
3016,STORE LEVEL 259.00,Social Space,Support,Social Space Streatham
3017,Registry,Office,Support,Hubs
3018,PETCT Control Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3019,Reception Lobby,Balance Space,Other,Balance
3020,Gas Plant,Balance (Building Service) Space,Other,Balance
3021,Blackwells Bookshop Store,Storage Space,Other,Third Party Accounts
3022,Tissue Culture,Laboratory,Academic - Faculty,University of Exeter Medical School
3023,Cupboard adjoining 108,Storage Space,Other,Student Guild
3024,Freezers,Laboratory,Academic - Faculty,University of Exeter Medical School
3025,Conservatory,Other Space,Residential,Residence Operations
3026,Central Corridor,Balance Space,Other,Balance
3027,Timetabling Office,Office,Support,Combined Services
3028,Store Cleaner,Storage Space,Other,University College Falmouth
3029,Volunteer Dining,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
3030,Directors Office,Office,Other,University College Falmouth
3031,Sample Preparation,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3032,Meeting Room,Meeting Room,Support,Financial Planning and Reporting
3033,Staff Kitchen,Other Space,Support,University
3034,Autoclave,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3035,Analytical Lab 3,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
3036,Academic hotdesk Hub,Office,Academic - Faculty,University of Exeter Business School
3037,TQAE - Terrace Office,Office,Support,Learning Experiences and Innovation
3038,Balance Space - Duryard Cottage,Balance Space,Residential,Balance
3039,Roof Plant Room,Balance (Building Service) Space,Other,Balance
3040,Health Centre - WAITING ROOM,Other Space,Other,Third Party Accounts
3041,Open Plan Office,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
3042,Consultation Room,Meeting Room,Support,Wellbeing Services
3043,Main Entrance,Balance Space,Other,Balance
3044,Meeting Room 2,Meeting Room,Academic - Faculty,Clinical and Biomedical Sciences
3045,Reception,Office,Residential,Residence Operations
3046,Balance Space for Annex,Balance Space,Other,Balance
3047,MRI Scanner,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3048,Laundry,Other Space,Other,University
3049,Tea Point see MG above,Office,Other,Social Space Penryn
3050,E&D Office,Office,Support,Occupational Health
3051,Learning Resources Centre,Study Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
3052,Library Entrance,Balance Space,Other,Balance
3053,Office 2 Academic,Office,Academic - Faculty,Communications Studies
3054,Domestic Supervisor Office,Office,Residential,Residence Operations
3055,Lobby Entrance,Balance Space,Other,Balance
3056,Balance Laboratory,Specialist Area,Academic - Faculty,Geography
3057,Chapel,Other Space,Support,Multi-faith Chaplaincy
3058,Syndicate Room C,Seminar Room [PS],Academic - Central,Centrally Bookable Space
3059,Equipment Store,Storage Space,Other,Other
3060,Music Practice Room 2,Other Space,Other,Student Guild
3061,Racked Lecture Theatre 1,Lecture Theatre,Academic - Central,Penryn CBS
3062,Technician Office,Office,Other,University College Falmouth
3063,Proteomics Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
3064,Print news Room,Specialist Area,Other,University College Falmouth
3065,Ophthalmic,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3066,Art Society external Store A,Storage Space,Other,Student Guild
3067,Photo Studio - Small 3,Specialist Area,Other,University College Falmouth
3068,Seminar Room 2,Seminar Room [PS],Academic - Central,Centrally Bookable Space
3069,Shower Entrance,Balance Space,Other,Balance
3070,Service Riser,Balance Space,Other,Balance
3071,Informal Meeting,Meeting Room,Academic - Faculty,University of Exeter Business School
3072,Wellbeing Office,Office,Support,Wellbeing
3073,Function Stores,Central Catering,Support,Social Space Penryn
3074,1:1 room (Owl),Office,Support,Hubs
3075,Cupboard,Balance Space,Other,Balance
3076,Cold Store,Central Catering,Support,Catering and Food Services
3077,Revolving Door near NatWest,Balance Space,Other,Balance
3078,Newsroom,Specialist Area,Other,University College Falmouth
3079,Protected Stair (Main),Balance Space,Other,Third Party Accounts
3080,DH1 Meeting Pod,Meeting Room,Other,Student Guild
3081,Store Behind Garage,Storage Space,Other,University
3082,Refectory Store,Storage Space,Support,Catering and Food Services
3083,Wash Up,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
3084,Estate Patrol Training Suite 1,Seminar Room [PS],Support,Estate Patrol
3085,Laundry (Drying Room),Other Space,Residential,Residence Operations
3086,Clinical Skills Teaching Room 2,Seminar Room,Other,Other
3087,Library,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3088,Now part of the chapel lecture theatre,Lecture Theatre,Academic - Central,Penryn CBS
3089,Fitness Suite Stair/Escape Route,Balance Space,Other,Balance
3090,Projection Room,Other Space,Support,Centrally Bookable Space
3091,Shower Room,Balance Space,Other,Balance
3092,Launderette,Balance Space,Other,Balance
3093,Myography Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
3094,Silent Study Room,Library,Support,Combined Services
3095,CLES Services Office,Office,Other,University
3096,Zone 4 - Tank Room,Balance Space,Other,Balance
3097,Counselling Office 2,Office,Support,Student Services Penryn
3098,PCC Hub back office,Office,Support,Hubs
3099,MRI Corridor,Balance Space,Other,Balance
3100,Showers (Male),Balance Space,Other,Balance
3101,Male Changing Room,Leisure Facilities,Support,Combined Services
3102,Stair and corridor to upper room,Balance Space,Other,Balance
3103,Marchant Syndicate Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
3104,Student Services (Room 4),Other Space,Support,Careers Information and Systems
3105,Microstructures Teaching Space,Specialist Area,Academic - Faculty,University of Exeter Medical School
3106,Barisca Caf̩/Study Space,Study Space,Support,Social Space Streatham
3107,BAR AND LOBBY,Other Space,Other,Northcott Theatre
3108,Library 2nd Floor,Library,Support,Combined Services
3109,Lemon Grove lobby,Balance Space,Other,Balance
3110,Transfer,Other Space,Other,University College Falmouth
3111,Lemon Grove Accessible WC,Balance Space,Other,Balance
3112,Tutorial 3,Seminar Room,Other,University College Falmouth
3113,SID Office (Room 10),Office,Support,Student Services Centre (SID)
3114,Art Society Workshop Store,Storage Space,Other,Student Guild
3115,Interview Room,Meeting Room,Academic - Faculty,University of Exeter Medical School
3116,Auditorium - Lobby +1 / west,Balance Space,Other,Balance
3117,Carpentry Workshop,Workshops,Support,Structural Team
3118,Cryostore Freezer Room,Storage Space,Academic - Faculty,Faculty of Health and Life Sciences
3119,Harrison Hub,Office,Support,Hubs
3120,Vestry,Other Space,Support,Multi-faith Chaplaincy
3121,PCC 1-to-1 Meeting Room,Meeting Room,Support,Hubs
3122,Comms,Other Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
3123,Foyer to RB01 - Biomechanics Lab,Balance Space,Other,Balance
3124,Female Shower / WC,Balance Space,Other,Balance
3125,Service Corridor,Balance Space,Other,Balance
3126,Shower / Changing Room,Balance Space,Other,Balance
3127,FABLAB Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
3128,Chemistry Lab,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
3129,Storage in the Cottage Garage,Balance Space,Other,Balance
3130,"Executive Support Team, plus hot desks",Office,Academic - Faculty,University of Exeter Medical School
3131,WORKSHOPS,Workshops,Other,Northcott Theatre
3132,Business Office 3,Office,Academic - Faculty,University of Exeter Business School
3133,Ground Floor Balance,Balance Space,Other,Balance
3134,Switch Room,Balance (Building Service) Space,Other,Balance
3135,Refuse Store,Central Catering,Support,Catering and Food Services
3136,Cold Room,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
3137,Filing / Storage / Photocopier,Storage Space,Academic - Faculty,University of Exeter Medical School
3138,West Boiler Room,Balance (Building Service) Space,Other,Balance
3139,Clinic Room 1,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
3140,Server Room,Other Space,Support,Combined Services
3141,PG Research Office,Office,Academic - Faculty,University of Exeter Medical School
3142,Office 3,Office,Academic - Faculty,Clinical and Biomedical Sciences
3143,Health Centre - NURSE,Other Space,Other,Third Party Accounts
3144,Store in Terrace,Storage Space,Support,Catering and Food Services
3145,Biocatalysis Atrium,Balance Space,Other,Balance
3146,Ophthalmic (store),Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
3147,Frank Oliver Recital Hall,Leisure Facilities,Other,Student Guild
3148,Balance Space,Balance Space,Other,Northcott Theatre
3149,Student Services (Room 12),Other Space,Support,Student Services Centre (SID)
3150,Meeting Room 3,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
